customer_id,name,city
1,Customer_1,Mumbai
2,Customer_2,Chennai
3,Customer_3,Mumbai
4,Customer_4,Kochi
5,Customer_5,Delhi
6,Customer_6,Chennai
7,Customer_7,Bangalore
8,Customer_8,Mumbai
9,Customer_9,Kochi
10,Customer_10,Kochi
11,Customer_11,Mumbai
12,Customer_12,Chennai
13,Customer_13,Bangalore
14,Customer_14,Mumbai
15,Customer_15,Mumbai
16,Customer_16,Delhi
17,Customer_17,Bangalore
18,Customer_18,Delhi
19,Customer_19,Bangalore
20,Customer_20,Delhi
21,Customer_21,Chennai
22,Customer_22,Mumbai
23,Customer_23,Delhi
24,Customer_24,Kochi
25,Customer_25,Bangalore
26,Customer_26,Delhi
27,Customer_27,Bangalore
28,Customer_28,Delhi
29,Customer_29,Delhi
30,Customer_30,Chennai
31,Customer_31,Chennai
32,Customer_32,Kochi
33,Customer_33,Delhi
34,Customer_34,Chennai
35,Customer_35,Chennai
36,Customer_36,Delhi
37,Customer_37,Kochi
38,Customer_38,Bangalore
39,Customer_39,Chennai
40,Customer_40,Bangalore
41,Customer_41,Bangalore
42,Customer_42,Kochi
43,Customer_43,Bangalore
44,Customer_44,Kochi
45,Customer_45,Delhi
46,Customer_46,Kochi
47,Customer_47,Bangalore
48,Customer_48,Mumbai
49,Customer_49,Kochi
50,Customer_50,Bangalore
